x,y,z,vx,vy,vz,t
-5657.105102927847,3733.6716170338746,0.0,-4.2241515102015335,-6.400259986434228,0.0,24475.675675675677
-5994.794868725394,3163.1592398042258,0.0,-3.578692843572679,-6.782310919037624,0.0,24562.16216216216
-6275.134948302847,2562.386247407496,0.0,-2.8989983248287157,-7.099478331848486,0.0,24648.648648648646
-6495.443447372716,1937.0999796985718,0.0,-2.1915702988537125,-7.348728018002173,0.0,24735.135135135133
-6653.612765720665,1293.2822913675832,0.0,-1.463176450449616,-7.52767550591544,0.0,24821.62162162162
-6748.129764526916,637.092314177047,0.0,-0.7207850046187612,-7.634608883867347,0.0,24908.108108108107
-6778.09023937645,-25.19245806843425,0.0,0.028501890544957942,-7.6685051641984785,0.0,24994.594594594593
-6743.207570846563,-687.2362248899128,0.0,0.7775161205126657,-7.62904007515173,0.0,25081.08108108108
-6643.815466591938,-1342.7054914815776,0.0,1.5190921815675582,-7.516591162534287,0.0,25167.567567567567
-6480.8647692294035,-1985.3296582332414,0.0,2.246135723416698,-7.332234178580878,0.0,25254.054054054053
-6255.914360074256,-2608.9610087780707,0.0,2.951691422867345,-7.077732791320679,0.0,25340.54054054054
-5971.116244310322,-3207.633525997719,0.0,3.6290095398427518,-6.755521701597196,0.0,25427.027027027027
-5629.194966206713,-3775.619960522158,0.0,4.271610441948909,-6.368683373532035,0.0,25513.513513513513
-5233.421544890597,-4307.486621970345,0.0,4.8733466343967855,-5.920918531589917,0.0,25600.0
-4787.582174751768,-4798.145370347836,0.0,5.428461576174882,-5.416510737663275,0.0,25686.486486486487
-4295.942019148258,-5242.902273704265,0.0,5.9316446934859295,-4.860285474073973,0.0,25772.972972972973
-3763.20438705857,-5637.502535108755,0.0,6.378082266223291,-4.257563886345879,0.0,25859.45945945946
-3194.4657620973617,-5978.171174820448,0.0,6.763503395170028,-3.614111988894975,0.0,25945.945945945947
-2595.1670214562323,-6261.64916301596,0.0,7.084220934808392,-2.936085382616978,0.0,26032.432432432433
-1971.0414103440578,-6485.22458205004,0.0,7.337166701134573,-2.2299704981843664,0.0,26118.918918918916
-1328.0596726881417,-6646.758581270827,0.0,7.519920877850575,-1.5025224132553903,0.0,26205.405405405403
-672.3729455241212,-6744.705832478014,0.0,7.630735128967777,-0.7607003269979264,0.0,26291.89189189189
-10.253909020448177,-6778.1293153886745,0.0,7.66854934113451,-0.011600943648676816,0.0,26378.378378378377
651.963222605711,-6746.709281536168,0.0,7.633001761965384,0.7376094240592506,0.0,26464.864864864863
1307.9432957010715,-6650.746313090813,0.0,7.524432460506753,1.4797633906743166,0.0,26551.35135135135
1951.4108247850986,-6491.158447381762,0.0,7.3438800728928655,2.2077610845972733,0.0,26637.837837837837
2576.21002657591,-6269.472394292951,0.0,7.093071867069881,2.914638057654059,0.0,26724.324324324323
3176.3637075800298,-5987.808932048318,0.0,6.774407225847322,3.593631902979732,0.0,26810.81081081081
3746.130451080773,-5648.862615990655,0.0,6.39093467175986,4.238246988769253,0.0,26897.297297297297
4280.059538982082,-5255.876002470054,0.0,5.946322728099379,4.842316545348887,0.0,26983.783783783783
4773.043092235527,-4812.60863216753,0.0,5.444824818358641,5.400061687208277,0.0,27070.27027027027
5220.364948965187,-4323.301053784572,0.0,4.891238547971436,5.906146712983098,0.0,27156.756756756757
5617.745764233454,-3792.6342723274047,0.0,4.290859861686215,6.355730107318264,0.0,27243.243243243243
5961.383966806295,-3225.684948859879,0.0,3.649432311522245,6.744510905671607,0.0,27329.72972972973
6247.992110870801,-2627.8768550317513,0.0,2.973092188509134,7.06876979486595,0.0,27416.216216216217
6474.82833944464,-2004.9289642466304,0.0,2.2683097245800923,7.325404737712581,0.0,27502.702702702703
6639.722603993199,-1362.8007612202723,0.0,1.541827305035077,7.51196060615068,0.0,27589.18918918919
